tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s
366170,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2162253,-249679,-1247325,9435,1066,12432
366172,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-144927,2518004,0,39301,51857
366172,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2476044,247914,40221,-8859,-653,54549
366172,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2161301,-249572,-1245776,9472,1056,16521
366174,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-141152,2523458,0,37225,55432
366174,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2475307,247861,45947,-6866,-489,58167
366174,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2160392,-249472,-1243816,8927,981,20617
366176,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-137588,2529268,0,35119,58989
366176,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2474773,247825,52033,-4825,-327,61758
366176,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2159569,-249383,-1241452,7975,862,24637
366178,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-134235,2535433,0,32991,62533
366178,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2474446,247804,58477,-2746,-169,65328
366178,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2158863,-249307,-1238693,6738,716,28566
366180,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-131097,2541951,0,30845,66067
366180,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2474277,247794,65275,-1601,-88,68859
366180,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2158262,-249244,-1235555,5776,605,32318
366182,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-128174,2548823,0,28687,69593
366182,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2474141,247787,72424,-1284,-69,72366
366182,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2157751,-249191,-1232047,4887,505,35987
366184,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-125468,2556046,0,26519,73113
366184,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2474032,247781,79923,-1027,-54,75870
366184,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2157323,-249147,-1228178,4094,417,39598
366186,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-122979,2563621,0,24343,76628
366186,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473945,247777,87773,-820,-42,79373
366186,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2156966,-249111,-1223950,3401,342,43170
366186,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2500000,250000,0,0,0,0
366188,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-120709,2571547,0,22161,80139
366188,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473876,247773,95973,-653,-32,82874
366188,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2156671,-249082,-1219367,2806,279,46716
366188,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2500000,250000,0,0,0,0
366190,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-118657,2579824,0,19975,83648
366190,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473821,247771,104523,-519,-25,86375
366190,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2156429,-249058,-1214430,2302,227,50246
366190,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2500000,250000,0,0,0,0
366192,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-116823,2588452,0,17786,87155
366192,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473777,247769,113423,-412,-20,89876
366192,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2156231,-249039,-1209142,1879,183,53764
366192,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2499913,249991,1,1741,-174,17
366194,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-115209,2597430,0,15594,90660
366194,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473743,247767,122673,-327,-15,93376
366194,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2156070,-249023,-1203502,1527,147,57276
366194,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2499478,249948,21,5214,-518,302
366196,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-113814,2606759,0,13401,94164
366196,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473715,247766,132273,-259,-12,96876
366196,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155939,-249010,-1197511,1236,118,60783
366196,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2498702,249871,117,8604,-846,1253
366198,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-112638,2616438,0,11206,97667
366198,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473693,247765,142223,-204,-9,100376
