t_s,avail_bytes
66.329,4486
66.422,4486
66.532,4486
66.641,4486
66.75,4486
66.86,4486
66.954,4486
67.063,4486
67.172,4486
67.282,4486
67.391,4486
67.5,4486
67.594,4486
67.704,4486
67.813,4486
67.922,4486
68.032,4486
68.141,4486
68.235,4486
68.344,4486
68.454,4486
68.563,4486
68.672,4486
68.766,4486
68.875,4486
68.985,4486
69.094,4486
69.204,4486
69.313,4486
69.422,4486
69.516,4486
69.625,4486
69.735,4486
69.844,4486
69.954,4486
70.063,4486
70.157,4486
70.266,4486
70.375,4486
70.485,4486
70.594,4486
70.704,4486
70.797,4486
70.907,4486
71.016,4486
71.125,4486
71.235,4486
71.344,4486
71.438,4486
71.547,4486
71.657,4486
71.766,4486
71.875,4486
71.969,4486
72.079,4486
72.188,4486
72.297,4486
72.407,4486
72.516,4486
72.625,4486
72.719,4486
72.829,4486
72.938,4486
73.047,4486
73.157,4486
73.266,4486
73.36,4486
73.469,4486
73.579,4486
73.688,4486
73.797,4486
73.907,4486
74.016,4486
74.11,4486
74.219,4486
74.329,4486
74.438,4486
74.547,4486
74.657,4486
74.75,4486
74.86,4486
74.969,4486
75.079,4486
75.188,4486
75.297,4486
75.391,4486
75.5,4486
75.61,4486
75.719,4486
75.829,4486
75.938,4486
76.032,4486
76.141,4486
76.25,4486
76.36,4486
76.469,4486
76.579,4486
76.672,4486
76.782,4486
76.891,4486
77.0,4486
77.11,4486
77.219,4486
77.313,4486
77.422,4486
77.532,4486
77.641,4486
77.75,4486
77.86,4486
77.954,4486
78.063,4486
78.172,4486
78.282,4486
78.391,4486
78.5,4486
78.594,4486
78.704,4486
78.813,4486
78.922,4486
79.032,4486
79.141,4486
79.235,4486
79.344,4486
79.454,4486
79.563,4486
79.657,4486
79.766,4486
79.875,4486
79.985,4486
80.094,4486
80.204,4486
80.297,4486
80.407,4486
80.516,4486
80.625,4486
80.735,4486
80.844,4486
80.938,4486
81.047,4486
81.157,4486
81.266,4486
81.375,4486
81.485,4486
81.594,4486
81.688,4486
81.797,4486
81.907,4486
82.016,4486
82.125,4486
82.219,4486
82.329,4486
82.438,4486
82.547,4486
82.657,4486
82.766,4486
82.86,4486
82.969,4486
83.079,4486
83.188,4486
83.297,4486
83.391,4486
83.5,4486
83.61,4486
83.719,4486
83.829,4486
83.938,4486
84.032,4486
84.141,4486
84.25,4486
84.36,4486
84.469,4486
84.579,4486
84.672,4486
84.782,4486
84.891,4486
85.0,4486
85.11,4486
85.204,4486
85.313,4486
85.422,4486
85.532,4486
85.641,4486
85.75,4486
85.86,4486
85.954,4486
86.063,4486
86.172,4486
86.282,4486
86.391,4486
86.5,4486
86.594,4486
86.704,4486
86.813,4486
86.922,4486
87.032,4486
87.125,4486
87.235,4486
87.344,4486
87.454,4486
87.563,4486
87.672,4486
87.782,4486
87.875,4486
87.985,4486
88.094,4486
88.204,4486
88.313,4486
88.407,4486
88.516,4486
88.625,4486
88.735,4486
88.844,4486
88.954,4486
89.047,4486
89.157,4486
89.266,4486
89.375,4486
89.485,4486
89.594,4486
89.704,4486
89.813,4486
89.907,4486
90.016,4486
90.125,4486
90.235,4486
90.344,4486
90.454,4486
90.547,4486
90.657,4486
90.766,4486
90.875,4486
90.985,4486
91.094,4486
91.204,4486
91.297,4486
91.407,4486
91.516,4486
91.625,4486
91.735,4486
91.844,4486
91.938,4486
92.047,4486
92.157,4486
92.266,4486
92.375,4486
92.469,4486
92.579,4486
92.688,4486
92.797,4486
92.907,4486
93.016,4486
93.11,4486
93.219,4486
93.329,4486
93.438,4486
93.547,4486
93.657,4486
93.75,4486
93.86,4486
93.969,4486
94.079,4486
94.188,4486
94.282,4486
94.391,4486
94.5,4486
94.61,4486
94.719,4486
94.829,4486
94.922,4486
95.032,4486
95.141,4486
95.25,4486
95.36,4486
95.454,4486
95.563,4486
95.672,4486
95.782,4486
95.891,4486
96.0,4486
96.11,4486
96.204,4486
96.313,4486
96.422,4486
96.532,4486
96.641,4486
96.735,4486
96.844,4486
96.954,4486
97.063,4486
97.172,4486
97.282,4486
97.375,4486
97.485,4486
97.594,4486
97.704,4486
97.813,4486
97.922,4486
98.016,4486
98.125,4486
98.235,4486
98.344,4486
98.454,4486
98.563,4486
98.657,4486
98.766,4486
98.875,4486
98.985,4486
99.094,4486
99.204,4486
99.297,4486
99.407,4486
99.516,4486
99.625,4486
99.735,4486
99.844,4486
99.938,4486
100.047,4486
100.157,4486
100.266,4486
100.375,4486
100.485,4486
100.594,4486
100.688,4486
100.797,4486
100.907,4486
101.016,4486
101.11,4486
101.219,4486
101.329,4486
101.438,4486
101.547,4486
101.657,4486
101.75,4486
101.86,4486
101.969,4486
102.079,4486
102.188,4486
102.297,4486
102.391,4486
102.5,4486
102.61,4486
102.719,4486
102.829,4486
102.922,4486
103.032,4486
103.141,4486
103.25,4486
103.36,4486
103.469,4486
103.563,4486
103.672,4486
103.782,4486
103.891,4486
104.0,4486
104.11,4486
104.219,4486
104.313,4486
104.422,4486
104.532,4486
104.641,4486
104.75,4486
104.86,4486
104.969,4486
105.063,4486
105.172,4486
105.282,4486
105.391,4486
105.5,4486
105.594,4486
105.704,4486
105.813,4486
105.922,4486
106.032,4486
106.125,4486
106.235,4486
106.344,4486
106.454,4486
106.563,4486
106.657,4486
106.766,4486
106.875,4486
106.985,4486
107.094,4486
107.204,4486
107.313,4486
107.407,4486
107.516,4486
107.625,4486
107.735,4486
107.844,4486
107.938,4486
108.047,4486
108.157,4486
108.266,4486
108.375,4486
108.485,4486
108.579,4486
108.688,4486
108.797,4486
108.907,4486
109.016,4486
109.125,4486
109.219,4486
109.329,4486
109.438,4486
109.547,4486
109.657,4486
109.766,4486
109.86,4486
109.969,4486
110.079,4486
110.188,4486
110.297,4486
110.407,4486
110.5,4486
110.61,4486
110.719,4486
110.829,4486
110.938,4486
111.047,4486
111.141,4486
111.25,4486
111.36,4486
111.469,4486
111.579,4486
111.688,4486
111.782,4486
111.891,4486
112.0,4486
112.11,4486
112.219,4486
112.329,4486
112.438,4486
112.532,4486
112.641,4486
112.75,4486
112.86,4486
112.969,4486
113.063,4486
113.172,4486
113.282,4486
113.391,4486
113.5,4486
113.61,4486
113.719,4486
113.813,4486
113.922,4486
114.032,4486
114.141,4486
114.25,4486
114.344,4486
114.454,4486
114.563,4486
114.672,4486
114.782,4486
114.875,4486
114.985,4486
115.094,4486
115.204,4486
115.313,4486
115.422,4486
115.516,4486
115.625,4486
115.735,4486
115.844,4486
115.954,4486
116.063,4486
116.157,4486
116.266,4486
116.375,4486
116.485,4486
116.594,4486
116.704,4486
116.813,4486
116.907,4486
117.016,4486
117.125,4486
117.235,4486
117.344,4486
117.454,4486
117.547,4486
117.657,4486
117.766,4486
117.875,4486
117.985,4486
118.094,4486
118.188,4486
118.297,4486
118.407,4486
118.516,4486
118.625,4486
118.735,4486
118.829,4486
118.938,4486
119.047,4486
119.157,4486
119.266,4486
119.375,4486
119.469,4486
119.579,4486
119.688,4486
119.797,4486
119.907,4486
120.016,4486
120.11,4486
120.219,4486
120.329,4486
120.438,4486
120.547,4486
120.641,4486
120.75,4486
120.86,4486
120.969,4486
121.079,4486
121.188,4486
121.282,4486
121.391,4486
121.5,4486
121.61,4486
121.719,4486
121.829,4486
121.938,4486
122.032,4486
122.141,4486
122.25,4486
122.36,4486
122.469,4486
122.579,4486
122.672,4486
122.782,4486
122.891,4486
123.0,4486
123.11,4486
123.219,4486
123.313,4486
123.422,4486
123.532,4486
123.641,4486
123.75,4486
123.86,4486
123.969,4486
124.079,4486
124.172,4486
124.282,4486
124.391,4486
124.5,4486
124.61,4486
124.704,4486
124.813,4486
124.922,4486
125.032,4486
125.141,4486
125.25,4486
125.36,4486
125.454,4486
125.563,4486
125.672,4486
125.782,4486
125.891,4486
125.985,4486
126.094,4486
126.204,4486
126.313,4486
126.422,4486
126.532,4486
126.625,4486
126.735,4486
126.844,4486
126.954,4486
127.063,4486
127.172,4486
127.266,4486
127.375,4486
127.485,4486
127.594,4486
127.704,4486
127.813,4486
127.922,4486
128.016,4486
128.125,4486
128.235,4486
128.344,4486
128.454,4486
128.547,4486
128.657,4486
128.766,4486
128.875,4486
128.985,4486
129.094,4486
129.188,4486
129.297,4486
129.407,4486
129.516,4486
129.625,4486
129.735,4486
129.844,4486
129.938,4486
130.047,4486
130.157,4486
130.266,4486
130.375,4486
130.485,4486
130.579,4486
130.688,4486
130.797,4486
130.907,4486
131.016,4486
131.11,4486
