t_s,avail_bytes
42.562,4256
42.671,4256
42.781,4256
42.89,4256
43.0,4256
43.109,4256
43.203,4256
43.312,4256
43.421,4256
43.531,4256
43.64,4256
43.75,4256
43.843,4256
43.953,4256
44.062,4256
44.171,4256
44.281,4256
44.39,4256
44.5,4256
44.593,4256
44.703,4256
44.812,4256
44.921,4256
45.031,4256
45.14,4256
45.234,4256
45.343,4256
45.453,4256
45.562,4256
45.671,4256
45.781,4256
45.875,4256
45.984,4256
46.093,4256
46.203,4256
46.312,4256
46.406,4256
46.515,4256
46.625,4256
46.734,4256
46.843,4256
46.953,4256
47.062,4256
47.156,4256
47.265,4256
47.375,4256
47.484,4256
47.593,4256
47.703,4256
47.796,4256
47.906,4256
48.015,4256
48.125,4256
48.234,4256
48.343,4256
48.437,4256
48.546,4256
48.656,4256
48.765,4256
48.875,4256
48.984,4256
49.093,4256
49.187,4256
49.296,4256
49.406,4256
49.515,4256
49.625,4256
49.734,4256
49.843,4256
49.937,4256
50.046,4256
50.156,4256
50.265,4256
50.375,4256
50.484,4256
50.578,4256
50.687,4256
50.796,4256
50.906,4256
51.015,4256
51.125,4256
51.234,4256
51.328,4256
51.437,4256
51.546,4256
51.656,4256
51.765,4256
51.875,4256
51.968,4256
52.078,4256
52.187,4256
52.296,4256
52.406,4256
52.515,4256
52.625,4256
52.734,4256
52.843,4256
52.937,4256
53.046,4256
53.156,4256
53.265,4256
53.375,4256
53.484,4256
53.578,4256
53.687,4256
53.796,4256
53.906,4256
54.015,4256
54.125,4256
54.234,4256
54.328,4256
54.437,4256
54.546,4256
54.656,4256
54.765,4256
54.875,4256
54.984,4256
55.093,4256
55.187,4256
55.296,4256
55.406,4256
55.515,4256
55.625,4256
55.718,4256
55.828,4256
55.937,4256
56.046,4256
56.156,4256
56.265,4256
56.375,4256
56.468,4256
56.578,4256
56.687,4256
56.796,4256
56.906,4256
57.015,4256
57.125,4256
57.218,4256
57.328,4256
57.437,4256
57.546,4256
57.656,4256
57.765,4256
57.875,4256
57.968,4256
58.078,4256
58.187,4256
58.296,4256
58.406,4256
58.515,4256
58.625,4256
58.718,4256
58.828,4256
58.937,4256
59.046,4256
59.156,4256
59.265,4256
59.375,4256
59.484,4256
59.578,4256
59.687,4256
59.796,4256
59.906,4256
60.015,4256
60.125,4256
60.234,4256
60.328,4256
60.437,4256
60.546,4256
60.656,4256
60.765,4256
60.875,4256
60.984,4256
61.093,4256
61.187,4256
61.296,4256
61.406,4256
61.515,4256
61.625,4256
61.734,4256
61.828,4256
61.937,4256
62.046,4256
62.156,4256
62.265,4256
62.375,4256
62.484,4256
62.593,4256
62.687,4256
62.796,4256
62.906,4256
63.015,4256
63.125,4256
63.234,4256
63.328,4256
63.437,4256
63.546,4256
63.656,4256
63.765,4256
63.875,4256
63.968,4256
64.078,4256
64.187,4256
64.296,4256
64.406,4256
64.515,4256
64.625,4256
64.718,4256
64.828,4256
64.937,4256
65.046,4256
65.156,4256
65.265,4256
65.359,4256
65.468,4256
65.578,4256
65.687,4256
65.796,4256
65.89,4256
66.0,4256
66.109,4256
66.218,4256
66.328,4256
66.421,4256
66.531,4256
66.64,4256
66.75,4256
66.859,4256
66.968,4256
67.062,4256
67.171,4256
67.281,4256
67.39,4256
67.5,4256
67.609,4256
67.703,4256
67.812,4256
67.921,4256
68.031,4256
68.14,4256
68.25,4256
68.343,4256
68.453,4256
68.562,4256
68.671,4256
68.781,4256
68.89,4256
69.0,4256
69.093,4256
69.203,4256
69.312,4256
69.421,4256
69.531,4256
69.625,4256
69.734,4256
69.843,4256
69.953,4256
70.062,4256
70.171,4256
70.281,4256
70.375,4256
70.484,4256
70.593,4256
70.703,4256
70.812,4256
70.921,4256
71.015,4256
71.125,4256
71.234,4256
71.343,4256
71.453,4256
71.546,4256
71.656,4256
71.765,4256
71.875,4256
71.984,4256
72.078,4256
72.187,4256
72.296,4256
72.406,4256
72.515,4256
72.625,4256
72.734,4256
72.828,4256
72.937,4256
73.046,4256
73.156,4256
73.265,4256
73.375,4256
73.484,4256
73.578,4256
73.687,4256
73.796,4256
73.906,4256
74.015,4256
74.125,4256
74.218,4256
74.328,4256
74.437,4256
74.546,4256
74.656,4256
74.765,4256
74.859,4256
74.968,4256
75.078,4256
75.187,4256
75.296,4256
75.406,4256
75.5,4256
75.609,4256
75.718,4256
75.828,4256
75.937,4256
76.046,4256
76.156,4256
76.25,4256
76.359,4256
76.468,4256
76.578,4256
76.687,4256
76.796,4256
76.906,4256
77.015,4256
77.109,4256
77.218,4256
77.328,4256
77.437,4256
77.546,4256
77.64,4256
77.75,4256
77.859,4256
77.968,4256
78.078,4256
78.187,4256
78.281,4256
78.39,4256
78.5,4256
78.609,4256
78.718,4256
78.828,4256
78.921,4256
79.031,4256
79.14,4256
79.25,4256
79.359,4256
79.468,4256
79.562,4256
79.671,4256
79.781,4256
79.89,4256
80.0,4256
80.109,4256
80.203,4256
80.312,4256
80.421,4256
80.531,4256
80.64,4256
80.75,4256
80.859,4256
80.968,4256
81.062,4256
81.171,4256
81.281,4256
81.39,4256
81.5,4256
81.609,4256
81.703,4256
81.812,4256
81.921,4256
82.031,4256
82.14,4256
82.234,4256
82.343,4256
82.453,4256
82.562,4256
82.671,4256
82.781,4256
82.89,4256
83.0,4256
83.109,4256
83.203,4256
83.312,4256
83.421,4256
83.531,4256
83.64,4256
83.75,4256
83.859,4256
83.953,4256
84.062,4256
84.171,4256
84.281,4256
84.39,4256
84.5,4256
84.609,4256
84.703,4256
84.812,4256
84.921,4256
85.031,4256
85.14,4256
85.25,4256
85.359,4256
85.453,4256
85.562,4256
85.671,4256
85.781,4256
85.89,4256
86.0,4256
86.109,4256
86.203,4256
86.312,4256
86.421,4256
86.531,4256
86.64,4256
86.75,4256
86.843,4256
86.953,4256
87.062,4256
87.171,4256
87.281,4256
87.39,4256
87.484,4256
87.593,4256
87.703,4256
87.812,4256
87.921,4256
88.031,4256
88.125,4256
88.234,4256
88.343,4256
88.453,4256
88.562,4256
88.671,4256
88.781,4256
88.875,4256
88.984,4256
89.093,4256
89.203,4256
89.312,4256
89.406,4256
89.515,4256
89.625,4256
89.734,4256
89.843,4256
89.953,4256
90.046,4256
90.156,4256
90.265,4256
90.375,4256
90.484,4256
90.593,4256
90.687,4256
90.796,4256
90.906,4256
91.015,4256
91.125,4256
91.234,4256
91.328,4256
91.437,4256
91.546,4256
91.656,4256
91.765,4256
91.875,4256
91.984,4256
92.078,4256
92.187,4256
92.296,4256
92.406,4256
92.515,4256
92.625,4256
92.734,4256
92.828,4256
92.937,4256
93.046,4256
93.156,4256
93.265,4256
93.375,4256
93.484,4256
93.593,4256
93.687,4256
93.796,4256
93.906,4256
94.015,4256
94.125,4256
94.234,4256
94.343,4256
94.437,4256
94.546,4256
94.656,4256
94.765,4256
94.875,4256
94.984,4256
95.093,4256
95.187,4256
95.296,4256
95.406,4256
95.515,4256
95.625,4256
95.734,4256
95.828,4256
95.937,4256
96.046,4256
96.156,4256
96.265,4256
96.375,4256
96.468,4256
96.578,4256
96.687,4256
96.796,4256
96.906,4256
97.015,4256
97.109,4256
97.218,4256
97.328,4256
97.437,4256
97.546,4256
97.656,4256
97.75,4256
97.859,4256
97.968,4256
98.078,4256
98.187,4256
98.296,4256
98.406,4256
98.515,4256
98.609,4256
98.718,4256
98.828,4256
98.937,4256
99.046,4256
99.156,4256
99.25,4256
99.359,4256
99.468,4256
99.578,4256
99.687,4256
99.796,4256
99.906,4256
100.015,4256
100.125,4256
100.218,4256
100.328,4256
100.437,4256
100.546,4256
100.656,4256
100.765,4256
100.859,4256
100.968,4256
101.078,4256
101.187,4256
101.296,4256
101.406,4256
101.515,4256
101.625,4256
101.718,4256
101.828,4256
101.937,4256
102.046,4256
102.156,4256
102.265,4256
102.375,4256
102.468,4256
102.578,4256
102.687,4256
102.796,4256
102.906,4256
103.015,4256
103.125,4256
103.218,4256
103.328,4256
103.437,4256
103.546,4256
103.656,4256
103.765,4256
103.875,4256
103.968,4256
104.078,4256
104.187,4256
104.296,4256
104.406,4256
104.515,4256
104.609,4256
104.718,4256
104.828,4256
104.937,4256
105.046,4256
105.156,4256
105.265,4256
105.359,4256
105.468,4256
105.578,4256
105.687,4256
105.796,4256
105.906,4256
106.015,4256
106.109,4256
106.218,4256
106.328,4256
106.437,4256
106.546,4256
106.656,4256
106.75,4256
106.859,4256
106.968,4256
107.078,4256
107.187,4256
107.296,4256
107.39,4256
107.5,4256
107.609,4256
107.718,4256
107.828,4256
107.937,4256
108.046,4256
108.156,4256
108.25,4256
108.359,4256
108.468,4256
108.578,4256
108.687,4256
108.796,4256
108.89,4256
109.0,4256
109.109,4256
109.218,4256
109.328,4256
109.437,4256
109.546,4256
109.64,4256
109.75,4256
109.859,4256
109.968,4256
110.078,4256
110.187,4256
110.281,4256
110.39,4256
110.5,4256
110.609,4256
110.718,4256
110.828,4256
110.921,4256
111.031,4256
111.14,4256
111.25,4256
111.359,4256
111.468,4256
111.578,4256
111.671,4256
111.781,4256
111.89,4256
112.0,4256
112.109,4256
112.218,4256
112.328,4256
112.421,4256
112.531,4256
112.64,4256
112.75,4256
112.859,4256
112.953,4256
113.062,4256
113.171,4256
113.281,4256
113.39,4256
113.5,4256
113.609,4256
113.718,4256
113.812,4256
113.921,4256
114.031,4256
114.14,4256
114.25,4256
114.359,4256
114.453,4256
114.562,4256
114.671,4256
114.781,4256
114.89,4256
115.0,4256
115.109,4256
115.203,4256
115.312,4256
115.421,4256
115.531,4256
115.64,4256
115.75,4256
115.859,4256
115.953,4256
116.062,4256
116.171,4256
116.281,4256
116.39,4256
116.5,4256
116.609,4256
116.703,4256
116.812,4256
116.921,4256
117.031,4256
117.14,4256
117.234,4256
117.343,4256
117.453,4256
117.562,4256
117.671,4256
117.781,4256
117.89,4256
117.984,4256
118.093,4256
118.203,4256
118.312,4256
118.421,4256
118.531,4256
118.625,4256
118.734,4256
118.843,4256
118.953,4256
119.062,4256
119.171,4256
119.265,4256
119.375,4256
119.484,4256
119.593,4256
119.703,4256
119.812,4256
119.921,4256
120.031,4256
120.125,4256
120.234,4256
120.343,4256
120.453,4256
120.562,4256
120.671,4256
120.765,4256
120.875,4256
120.984,4256
121.093,4256
121.203,4256
121.312,4256
121.421,4256
121.515,4256
121.625,4256
121.734,4256
121.843,4256
121.953,4256
122.046,4256
122.156,4256
122.265,4256
122.375,4256
122.484,4256
122.578,4256
122.687,4256
122.796,4256
122.906,4256
123.015,4256
123.125,4256
123.234,4256
123.328,4256
123.437,4256
123.546,4256
123.656,4256
123.765,4256
123.875,4256
123.984,4256
124.093,4256
124.187,4256
124.296,4256
124.406,4256
124.515,4256
124.625,4256
124.734,4256
124.828,4256
124.937,4256
125.046,4256
125.156,4256
125.265,4256
125.359,4256
125.468,4256
125.578,4256
125.687,4256
125.796,4256
125.906,4256
126.015,4256
126.109,4256
126.218,4256
126.328,4256
126.437,4256
126.546,4256
126.656,4256
126.765,4256
126.875,4256
126.968,4256
127.078,4256
127.187,4256
127.296,4256
127.406,4256
127.5,4256
127.609,4256
127.718,4256
127.828,4256
127.937,4256
128.046,4256
128.156,4256
128.25,4256
128.359,4256
128.468,4256
128.578,4256
128.687,4256
128.796,4256
128.906,4256
129.0,4256
129.109,4256
129.218,4256
129.328,4256
129.437,4256
129.546,4256
129.64,4256
129.75,4256
129.859,4256
129.968,4256
130.078,4256
130.187,4256
130.296,4256
130.39,4256
130.5,4256
130.609,4256
130.718,4256
130.828,4256
130.937,4256
131.031,4256
131.14,4256
131.25,4256
131.359,4256
131.468,4256
131.578,4256
131.671,4256
131.781,4256
131.89,4256
132.0,4256
132.109,4256
132.218,4256
132.312,4256
132.421,4256
132.531,4256
132.64,4256
132.75,4256
132.843,4256
132.953,4256
133.062,4256
133.171,4256
133.281,4256
133.39,4256
133.484,4256
133.593,4256
133.703,4256
133.812,4256
133.921,4256
134.031,4256
134.14,4256
134.25,4256
134.359,4256
134.453,4256
134.562,4256
134.671,4256
134.781,4256
134.89,4256
135.0,4256
135.109,4256
135.203,4256
135.312,4256
135.421,4256
135.531,4256
135.64,4256
135.75,4256
135.843,4256
135.953,4256
136.062,4256
136.171,4256
136.281,4256
136.39,4256
136.5,4256
136.609,4256
136.718,4256
136.828,4256
136.921,4256
137.031,4256
137.14,4256
137.25,4256
137.359,4256
137.453,4256
137.562,4256
137.671,4256
137.781,4256
137.89,4256
138.0,4256
138.109,4256
138.203,4256
138.312,4256
138.421,4256
138.531,4256
138.64,4256
138.75,4256
138.859,4256
138.968,4256
139.062,4256
139.171,4256
139.281,4256
139.39,4256
139.5,4256
139.593,4256
139.703,4256
139.812,4256
139.921,4256
140.031,4256
140.14,4256
140.234,4256
140.343,4256
140.453,4256
140.562,4256
140.671,4256
140.781,4256
140.875,4256
140.984,4256
141.093,4256
141.203,4256
141.312,4256
141.421,4256
141.531,4256
141.625,4256
141.734,4256
141.843,4256
141.953,4256
142.062,4256
142.171,4256
142.281,4256
142.375,4256
142.484,4256
142.593,4256
142.703,4256
142.812,4256
142.921,4256
143.015,4256
143.125,4256
143.234,4256
143.343,4256
143.453,4256
143.562,4256
143.671,4256
143.781,4256
143.875,4256
143.984,4256
144.093,4256
144.203,4256
144.312,4256
144.421,4256
144.515,4256
144.625,4256
144.734,4256
144.843,4256
144.953,4256
145.062,4256
145.156,4256
145.265,4256
145.375,4256
145.484,4256
145.593,4256
145.703,4256
145.796,4256
145.906,4256
146.015,4256
146.125,4256
146.234,4256
